ID,ORIGINAL,TRANSLATE,CRASH,LIMITED
340,OBJECT_CHEST_OPENABLE_TPL,Шаблон открываемого сундука,СБОЙ (вылетает игра),1
341,OBJECT_SARCOPHAGUS_OPENABLE_TPL,Шаблон открываемого саркофага,СБОЙ (вылетает игра),1
342,OBJECT_DEEDS_TEMPLATE,Шаблон документов,Прочее,0
343,OBJECT_SCRIPT_OBJECT_TEMPLATE,Шаблон сценария,Прочее,0
344,OBJECT_TREASURE_CLUE_BASE,Шаблон подсказки,Прочее,0
345,OBJECT_CRATE_TEMPLATE,Шаблон ящика,"Ничего не появляется, сбоя нет",0
346,OBJECT_CRATE_HERO_USABLE_TEMPLATE,"Шаблон ящика, который можно взять в руки",Ландшафт (не поднять),0
347,OBJECT_SIGNPOST_TEMPLATE,Шаблон указателей,Ландшафт (не поднять),0
348,OBJECT_BREAKABLE_BARREL_TEMPLATE,Шаблон ломаемой бочки,Ландшафт (не поднять),0
349,OBJECT_AUGMENTATION_TEMPLATE,Шаблон,Ландшафт (не поднять),0
350,OBJECT_HEAD_DECAP_TEMPLATE,СБОЙ,СБОЙ (вылетает игра),1
351,OBJECT_BOOK_STORY_TEMPLATE,Шаблон книги (Пустая книга),Прочее,0
352,OBJECT_NAME_TEMPLATE,Шаблон прозвища (Пустая книга),Прочее,0
353,OBJECT_POTION_TEMPLATE,Шаблон зелья,СБОЙ (вылетает игра),1
354,OBJECT_ARENA_AUDIENCE_TEMPLATE,Шаблон зрителя с арены,Ландшафт (не поднять),0
355,OBJECT_TATTOO_CARD_TEMPLATE,Шаблон тату-карточки,Прочее,0
356,OBJECT_BUILDING_DESTROYABLE_DOOR_TEMPLATE,Шаблон ломаемой двери,СБОЙ (вылетает игра),1
357,OBJECT_VILLAGE_SEAT_TEMPLATE,Шаблон сиденья,"Ничего не появляется, сбоя нет",0
537,BUILDING_ARENA_HERO_PODIUM_01,Подиум для героя с Арены,Ландшафт (не поднять),0
538,BUILDING_ARENA_COMBAT_ENTRANCE_01,Боевой вход на арену ,Ландшафт (не поднять),0
540,BUILDING_ARENA_EXTERIOR_SECTION_01,Арена экстерьер 1,Ландшафт (не поднять),0
541,BUILDING_ARENA_EXTERIOR_SECTION_02,Арена экстерьер 2,Ландшафт (не поднять),0
542,BUILDING_ARENA_EXTERIOR_SECTION_03,Арена экстерьер 3,Ландшафт (не поднять),0
543,BUILDING_ARENA_INTERIOR_SECTION_01,Арена интерьер 1,Ландшафт (не поднять),0
544,BUILDING_ARENA_INTERIOR_SECTION_02,Арена интерьер 2,Ландшафт (не поднять),0
545,BUILDING_ARENA_INTERIOR_SECTION_03,Арена интерьер 3,Ландшафт (не поднять),0
546,BUILDING_ARENA_INTERIOR_SECTION_04,Арена интерьер 4,Ландшафт (не поднять),0
562,OBJECT_CHAMPIONS_SEAL_01,Печать чемпиона,Трофей,0
563,OBJECT_HERO_ARENA_LEADERBOARD_01,Таблица лидеров с Арены,Ландшафт (не поднять),0
564,OBJECT_HERO_ARENA_CENTRE_GATE_01,Центральные ворота с Арены,Ландшафт (не поднять),0
565,OBJECT_ARENA_DOORWAY_01,Дверной проём с Арены,Ландшафт (не поднять),0
566,OBJECT_ARENA_EXTERIOR_ENTRANCE_GATE_01,Ворота для входа с Арены,Ландшафт (не поднять),0
567,OBJECT_ARENA_HOH_INTERNAL_DOORS_01,Двойные двери с Арены,Ландшафт (не поднять),0
568,OBJECT_ARENA_CELLS_WEAPON_STALL_01,Оружейная лавка с Арены,Ландшафт (не поднять),0
569,OBJECT_ARENA_AUDIENCE_01,Зритель с Арены 1,Ландшафт (не поднять),0
570,OBJECT_ARENA_AUDIENCE_02,Зритель с Арены 2,Ландшафт (не поднять),0
571,OBJECT_ARENA_AUDIENCE_03,Зритель с Арены 3,Ландшафт (не поднять),0
572,OBJECT_ARENA_AUDIENCE_04,Зритель с Арены 4,Ландшафт (не поднять),0
573,OBJECT_ARENA_AUDIENCE_05,Зритель с Арены 5,Ландшафт (не поднять),0
574,OBJECT_ARENA_AUDIENCE_FLAT_01,Зрители с Арены Плоские,Ландшафт (не поднять),0
575,OBJECT_ARENA_AUDIENCE_LOPOLY_01,Зритель с Арены Низкополигональная,Ландшафт (не поднять),0
576,OBJECT_ARENA_AUDIENCE_NOPOLY_01,Зритель с Арены Очень низкополигональный,Ландшафт (не поднять),0
577,OBJECT_HERO_ARENA_STATUE_01,Статуя героя с Арены 1,Ландшафт (не поднять),0
578,OBJECT_HERO_ARENA_STATUE_02,Статуя героя с Арены 2,Ландшафт (не поднять),0
579,OBJECT_HERO_ARENA_STATUE_03,Статуя героя с Арены 3,Ландшафт (не поднять),0
580,OBJECT_HERO_ARENA_STATUE_04,Статуя героя с Арены 4,Ландшафт (не поднять),0
581,OBJECT_HERO_ARENA_STATUE_05,Статуя героя с Арены 5,Ландшафт (не поднять),0
582,OBJECT_HERO_ARENA_STATUE_SCARLET_ROBE,Статуя Скарлет Роуб с Арены,Ландшафт (не поднять),0
583,OBJECT_ARROW_TRAP_01,Стреляющее чучело для битья,Ландшафт (не поднять),0
584,OBJECT_HERO_ARENA_SPEAR_TRAP_01,Ловушка с Арены Копья 1,Ландшафт (не поднять),0
585,OBJECT_HERO_ARENA_BLADES_TRAP_01,Ловушка с Арены Лезвия 1,Ландшафт (не поднять),0
663,OBJECT_GRAVEYARD_COTTAGE_DOOR,Дверь,Ландшафт (не поднять),0
717,OBJECT_BUILDING_WINDOW_HOOKCOAST_01,Окно,Ландшафт (не поднять),0
718,OBJECT_BUILDING_WINDOW_HOOKCOAST_BROKEN_01,Окно разбитое,Ландшафт (не поднять),0
719,OBJECT_BUILDING_WINDOW_HOOKCOAST_SHOP,Окно двойное ,Ландшафт (не поднять),0
720,OBJECT_BUILDING_WINDOW_HOOKCOAST_BROKEN_SHOP,Окно двойное разбитое,Ландшафт (не поднять),0
789,OBJECT_PRISON_EXTERIOR_LOWPOLY_01,Часть Баргейтской темницы Экстерьер Низкополигональный,Ландшафт (не поднять),0
791,OBJECT_PRISON_COURTYARD_02,Часть Баргейтской темницы Двор 2,Ландшафт (не поднять),0
792,OBJECT_PRISON_COURTYARD_03,Часть Баргейтской темницы Двор 3,Ландшафт (не поднять),0
793,OBJECT_PRISON_COURTYARD_04,Часть Баргейтской темницы Двор 5,Ландшафт (не поднять),0
794,OBJECT_PRISON_COURTYARD_05,Часть Баргейтской темницы Двор 4,Ландшафт (не поднять),0
795,OBJECT_PRISON_COURTYARD_06,Часть Баргейтской темницы Двор 6,Ландшафт (не поднять),0
796,OBJECT_PRISON_COURTYARD_07,Часть Баргейтской темницы Двор 7,Ландшафт (не поднять),0
797,OBJECT_PRISON_COURTYARD_08,Часть Баргейтской темницы Двор 8,Ландшафт (не поднять),0
798,OBJECT_PRISON_COURTYARD_09,Часть Баргейтской темницы Двор 9,Ландшафт (не поднять),0
799,OBJECT_PRISON_COURTYARD_10,Часть Баргейтской темницы Двор 10,Ландшафт (не поднять),0
800,OBJECT_PRISON_COURTYARD_11,Часть Баргейтской темницы Двор 11,Ландшафт (не поднять),0
801,OBJECT_PRISON_COURTYARD_12,Часть Баргейтской темницы Двор 12,Ландшафт (не поднять),0
802,OBJECT_PRISON_COURTYARD_13,Часть Баргейтской темницы Двор 13,Ландшафт (не поднять),0
803,OBJECT_PRISON_EXTERIOR_01,Часть Баргейтской темницы,Ландшафт (не поднять),0
804,OBJECT_PRISON_EXTERIOR_02,Часть Баргейтской темницы,Ландшафт (не поднять),0
805,OBJECT_PRISON_EXTERIOR_03,Часть Баргейтской темницы,Ландшафт (не поднять),0
806,OBJECT_PRISON_EXTERIOR_04,Часть Баргейтской темницы,Ландшафт (не поднять),0
807,OBJECT_PRISON_EXTERIOR_05,Часть Баргейтской темницы,Ландшафт (не поднять),0
808,OBJECT_PRISON_EXTERIOR_06,Часть Баргейтской темницы,Ландшафт (не поднять),0
841,OBJECT_WW_SWORD_IN_STONE_01,Меч в камне,Ландшафт (не поднять),0
842,OBJECT_WW_SWORD_IN_STONE_BASE_01,Камень без меча,Ландшафт (не поднять),0
843,OBJECT_WW_SWORD_IN_STONE_PLACEHOLDER_01,Камень со стальным мечом,Ландшафт (не поднять),0
1186,OBJECT_SUMMONER_LIGHTNING_ORB_BASE,СБОЙ,СБОЙ (вылетает игра),1
1187,OBJECT_EARTH_TROLL_TEAR,Слеза земляного тролля (двигается),Ландшафт (не поднять),0
1191,OBJECT_EARTH_TROLL_PROJECTILE,Камень земляного тролля (двигается),Ландшафт (не поднять),0
1192,OBJECT_ROCK_TROLL_ROCK,Камень каменного тролля (двигается),Ландшафт (не поднять),0
1193,OBJECT_ROCK_TROLL_ROCK_SMALL,Камень каменного тролля (двигается),Ландшафт (не поднять),0
1194,OBJECT_ROCK_TROLL_TRAP,Прыжок каменного тролля,Ландшафт (не поднять),0
1195,OBJECT_ICE_TROLL_TRAP,Прыжок снежного тролля,Ландшафт (не поднять),0
1199,OBJECT_ROCK_TROLL_CAMOUFLAGE_01,Камень Тролля 1,Ландшафт (не поднять),0
1200,OBJECT_ROCK_TROLL_CAMOUFLAGE_02,Камень Тролля 2,Ландшафт (не поднять),0
1201,OBJECT_ROCK_TROLL_CAMOUFLAGE_03,Камень Тролля 3,Ландшафт (не поднять),0
1202,OBJECT_ROCK_TROLL_CAMOUFLAGE_04,Камень Тролля 4,Ландшафт (не поднять),0
1203,OBJECT_ROCK_TROLL_CAMOUFLAGE_05,Камень Тролля 5,Ландшафт (не поднять),0
1204,OBJECT_ROCK_TROLL_CAMOUFLAGE_06,Камень Тролля 6,Ландшафт (не поднять),0
1210,OBJECT_ICE_TROLL_ICICLE_TRAP,Удар снежного тролля,Ландшафт (не поднять),0
1218,OBJECT_SUMMONER_LIGHTNING_ORB,Синий шар (атака призывающего),СБОЙ (вылетает игра),1
1219,OBJECT_SUMMONER_LIGHTNING_ORB_ATTACK_FIREHEART,Синий шар (атака призывающего),СБОЙ (вылетает игра),1
1221,OBJECT_DRAGON_SCALE_TEST,Красный дракон,Ландшафт (не поднять),0
1249,OBJECT_WOOD_NYMPH_THORN_TRAP,Ловушка лесной нимфы,Ландшафт (не поднять),0
1250,OBJECT_WATER_NYMPH_ICE_TRAP,Ловушка водной нимфы,Ландшафт (не поднять),0
1251,OBJECT_SUCCUBUS_NYMPH_TRAP,Ловушка суккуба нимфы,Ландшафт (не поднять),0
1252,OBJECT_QUEEN_NYMPH_TRAP,Ловушка королевы нимфы,Ландшафт (не поднять),0
1293,OBJECT_SCORPION_KING_TAIL_TRAP,Что-то от Арахнокса,Ландшафт (не поднять),0
1301,OBJECT_TROLL_GEM,Рубин падающий,Ландшафт (не поднять),0
1462,CREATURE_GENERATOR_BASE_TEMPLATE,Ничего не появляется,"Ничего не появляется, сбоя нет",0
1463,CREATURE_GENERATOR_TEMPLATE,Ничего не появляется,"Ничего не появляется, сбоя нет",0
1464,CREATURE_GENERATOR_DESTROYABLE_TEMPLATE,Ничего не появляется,"Ничего не появляется, сбоя нет",0
1465,CREATURE_GENERATOR_WASP_NEST_01,Осиное гнездо,Ландшафт (не поднять),0
1466,CREATURE_GENERATOR_TEST_BED_01,Кровать,Ландшафт (не поднять),0
1467,UNDEAD_GENERATOR,Ничего не появляется,"Ничего не появляется, сбоя нет",0
1481,OBJECT_AMBIENT_BIRD_SPARROW,Воробей (взлетает),Ландшафт (не поднять),0
1495,CREATURE_SPIDER_HAIRY_BLACK,Паук (черный),Ландшафт (не поднять),0
1496,CREATURE_SPIDER_HAIRY_BROWN,Паук (серый),Ландшафт (не поднять),0
1497,CREATURE_SPIDER_HAIRY_REDSPOT,Паук (с красными лапами),Ландшафт (не поднять),0
1498,CREATURE_SPIDER_HAIRY_WHITE,Паук (белый),Ландшафт (не поднять),0
1499,CREATURE_SPIDER_HAIRY_WHITESPOT,Паук (с белым пятном),Ландшафт (не поднять),0
1500,CREATURE_BEETLE_REDSPOT,Жук (красный),Ландшафт (не поднять),0
1501,CREATURE_BEETLE_BROWN,Жук (коричневый),Ландшафт (не поднять),0
1502,CREATURE_BEETLE_BLACK,Жук (черный),Ландшафт (не поднять),0
1503,CREATURE_BEETLE_GREENSPOT,Жук (с зеленым пятном),Ландшафт (не поднять),0
1508,OBJECT_JACK_OF_BLADES_SHIELD,Ничего не появляется,"Ничего не появляется, сбоя нет",0
1570,OBJECT_MINION_WARDOG,Статуя миньона,Ландшафт (не поднять),0
2856,OBJECT_MARKER,Буква М (маркер),Ландшафт (не поднять),0
2857,OBJECT_ABILITY_DUMMY_TEMPLATE,Шаблон для скиллов,СБОЙ (вылетает игра),1
2858,OBJECT_ABILITY_FORCE_PUSH_DUMMY,Магический Удар,Воля (магия) [не заспаунить через FableMenu],0
2859,OBJECT_ABILITY_TIME_SPELL_DUMMY,Застывшее время,Воля (магия) [не заспаунить через FableMenu],0
2860,OBJECT_ABILITY_ENFLAME_SPELL_DUMMY,Воспламенение,Воля (магия) [не заспаунить через FableMenu],0
2861,OBJECT_ABILITY_PHYSICAL_SHIELD_SPELL_DUMMY,Материальный Щит,Воля (магия) [не заспаунить через FableMenu],0
2862,OBJECT_ABILITY_TURNCOAT_SPELL_DUMMY,Ренегат,Воля (магия) [не заспаунить через FableMenu],0
2863,OBJECT_ABILITY_DRAIN_LIFE_SPELL_DUMMY,Высасывание жизней,Воля (магия) [не заспаунить через FableMenu],0
2864,OBJECT_ABILITY_RAISE_DEAD_SPELL_DUMMY,Некромантия (Зов),Воля (магия) [не заспаунить через FableMenu],0
2865,OBJECT_ABILITY_BERSERK_DUMMY,Берсерк,Воля (магия) [не заспаунить через FableMenu],0
2866,OBJECT_ABILITY_DOUBLE_STRIKE_DUMMY,Секретный удар,Воля (магия) [не заспаунить через FableMenu],0
2867,OBJECT_ABILITY_SUMMON_SPELL_DUMMY,Пылающие ладони (Зов),Воля (магия) [не заспаунить через FableMenu],0
2868,OBJECT_ABILITY_LIGHTNING_SPELL_DUMMY,Молния,Воля (магия) [не заспаунить через FableMenu],0
2869,OBJECT_ABILITY_BATTLE_CHARGE_DUMMY,Боевой натиск,Воля (магия) [не заспаунить через FableMenu],0
2870,OBJECT_ABILITY_ASSASSIN_RUSH_DUMMY,Прыжок Убийцы,Воля (магия) [не заспаунить через FableMenu],0
2871,OBJECT_ABILITY_HEAL_LIFE_SPELL_DUMMY,Излечение,Воля (магия) [не заспаунить через FableMenu],0
2872,OBJECT_ABILITY_GHOST_SWORD_SPELL_DUMMY,Меч призрак,Воля (магия) [не заспаунить через FableMenu],0
2873,OBJECT_ABILITY_FIREBALL_SPELL_DUMMY,Огненный Шар,Воля (магия) [не заспаунить через FableMenu],0
2874,OBJECT_ABILITY_MULTI_ARROW_DUMMY,Град Стрел,Воля (магия) [не заспаунить через FableMenu],0
2875,OBJECT_ABILITY_DIVINE_WRATH_SPELL_DUMMY,Огненный Шар (Ярость Небес),Воля (магия) [не заспаунить через FableMenu],0
2876,OBJECT_ABILITY_UNHOLY_POWER_SPELL_DUMMY,Огненный Шар (Гнев Присподней),Воля (магия) [не заспаунить через FableMenu],0
2877,OBJECT_SHARPENING_AUGMENTATION,Бритва,Модификаторы [не поднять при спауне через FableMenu],0
2878,OBJECT_PIERCING_AUGMENTATION,Шило,Модификаторы [не поднять при спауне через FableMenu],0
2879,OBJECT_SILVER_AUGMENTATION,Аргентум,Модификаторы [не поднять при спауне через FableMenu],0
2880,OBJECT_FLAME_AUGMENTATION,Пламя,Модификаторы [не поднять при спауне через FableMenu],0
2881,OBJECT_HOBBE_KILLER_AUGMENTATION,Пламя (на самом деле доп. урон на хоббов),Модификаторы [не поднять при спауне через FableMenu],0
2882,OBJECT_LIGHTNING_AUGMENTATION,Молния,Модификаторы [не поднять при спауне через FableMenu],0
2883,OBJECT_EXPERIENCE_AUGMENTATION,Опыт,Модификаторы [не поднять при спауне через FableMenu],0
2884,OBJECT_HEALTH_AUGMENTATION,Жизнь,Модификаторы [не поднять при спауне через FableMenu],0
2885,OBJECT_MANA_AUGMENTATION,Мана,Модификаторы [не поднять при спауне через FableMenu],0
2886,OBJECT_BANDIT_SLAYER_AUGMENTATION,Мана (на самом деле доп. урон на разбойников),Модификаторы [не поднять при спауне через FableMenu],0
2909,OBJECT_BANDIT_RING_GATE_DOOR_01,Ворота на Орлиной тропе,Ландшафт (не поднять),0
2910,OBJECT_BANDIT_RING_GATE_WALL_01,"Вход в локацию ""Запретный лагерь Два-Ножа""",Ландшафт (не поднять),0
2911,OBJECT_BANDIT_GATE_01,"Ворота в локации ""Лагерь Два-Ножа""",Ландшафт (не поднять),0
2912,OBJECT_BANDIT_GATE_02,"Часть ворот у ""Лагеря Два-Ножа""",Ландшафт (не поднять),0
2913,OBJECT_BANDIT_GATE_SURROUND_01,"Первый вид стен у ворот ""Лагеря Два-Ножа""",Ландшафт (не поднять),0
2914,OBJECT_BANDIT_GATE_SURROUND_02,"Второй вид стен у ворот ""Лагеря Два-Ножа""",Ландшафт (не поднять),0
2915,OBJECT_BANDIT_GATE_PINS_01,Штыри,Ландшафт (не поднять),0
2916,OBJECT_BLOODSTONE_TAVERN_BUCKET_01,Деревянное ведро,Ландшафт (не поднять),0
2917,OBJECT_BANDIT_TAVERN_STOOL_01,Табуретка 1,Ландшафт (не поднять),0
2918,OBJECT_BANDIT_TAVERN_STOOL_02,Табуретка 2,Ландшафт (не поднять),0
2919,OBJECT_BANDIT_TAVERN_STOOL_03,Табуретка 3,Ландшафт (не поднять),0
2920,OBJECT_BANDIT_TAVERN_TABLE_01,Стол 1,Ландшафт (не поднять),0
2921,OBJECT_BANDIT_TAVERN_TABLE_02,Стол 2,Ландшафт (не поднять),0
2922,OBJECT_BANDIT_FISTICUFFS_RING,Круг Бойцовского Клуба,Ландшафт (не поднять),0
2923,OBJECT_BANDIT_BLANKET_01,Большой спальный мешок,Ландшафт (не поднять),0
2924,OBJECT_BANDIT_BLANKET_02,Маленький спальный мешок,Ландшафт (не поднять),0
2925,OBJECT_BANDIT_PRISON_CART,Карета с тюремной решёткой,Ландшафт (не поднять),0
2926,OBJECT_BANDIT_FIREWOOD_01,Дрова 1,Ландшафт (не поднять),0
2927,OBJECT_BANDIT_FIREWOOD_02,Дрова 2,Ландшафт (не поднять),0
2928,OBJECT_BANDIT_LOGSEAT_01,Бревно 1,Ландшафт (не поднять),0
2929,OBJECT_BANDIT_LOGSEAT_02,Бревно 2,Ландшафт (не поднять),0
2930,OBJECT_BANDIT_LOGSEAT_03,Бревно с кожей,Ландшафт (не поднять),0
2931,OBJECT_BANDIT_TREASURE_TROVE_01,Куча золота с сундуками,Ландшафт (не поднять),0
2932,OBJECT_BANDIT_BED_01,Спальное место 1 (используемое),Ландшафт (не поднять),0
2933,OBJECT_BANDIT_BED_02,Спальное место 2 (используемое),Ландшафт (не поднять),0
2934,OBJECT_BANDIT_CAGE_01,Деревянная тюремная камера 1,Ландшафт (не поднять),0
2935,OBJECT_BANDIT_CAGE_02,Деревянная тюремная камера 2,Ландшафт (не поднять),0
2936,OBJECT_BANDIT_CAGE_DOOR_01,Часть деревянной тюремной камеры,Ландшафт (не поднять),0
2937,OBJECT_BANDIT_MARKET_STALL_CLOSED_01,Закрытая торговая лавка,Ландшафт (не поднять),0
2938,OBJECT_BANDIT_MARKET_STALL_OPEN_01,Открытая торговая лавка,Ландшафт (не поднять),0
2939,OBJECT_BANDIT_BAR_01,Столик с кружками пива,Ландшафт (не поднять),0
2940,OBJECT_BANDIT_ROOTED_STUMP_01,Ничего не появляется,"Ничего не появляется, сбоя нет",0
2941,OBJECT_BANDIT_PLUNDER_01,Разные сломанные вещи из дерева 1,Ландшафт (не поднять),0
2942,OBJECT_BANDIT_PLUNDER_02,Разные сломанные вещи из дерева 2,Ландшафт (не поднять),0
2943,OBJECT_BANDIT_PLUNDER_03,Разные сломанные вещи из дерева и железа,Ландшафт (не поднять),0
2944,OBJECT_BANDIT_CHICKEN_ON_STICK_01,Жареная курица на палке,Ландшафт (не поднять),0
2945,OBJECT_BANDIT_CAMP_PATH_FENCE_01,Часть деревянного забора,Ландшафт (не поднять),0
2946,OBJECT_BANDIT_BANNER_01,Флаг на длинной палке (наклон вправо),Ландшафт (не поднять),0
2947,OBJECT_BANDIT_BANNER_02,Флаг на длинной палке (наклон влево),Ландшафт (не поднять),0
2948,OBJECT_BANDIT_BANNER_SMALL_01,Большой оранжевый флаг на длинной палке,Ландшафт (не поднять),0
2949,OBJECT_BANDIT_BANNER_SMALL_02,Большой фиолетово-серый флаг на длинной палке,Ландшафт (не поднять),0
2950,OBJECT_BANDIT_BANNER_TALL_01,Большой оранжево-красный флаг на длинной палке,Ландшафт (не поднять),0
2951,OBJECT_BANDIT_BANNER_TALL_02,Большой оранжево-чёрный флаг на длинной палке,Ландшафт (не поднять),0
2952,OBJECT_BANDIT_COOKING_FIRE_UNLIT,Костёр с кастрюлей,Ландшафт (не поднять),0
2953,OBJECT_BANDIT_CAMPFIRE_TEMPLATE,СБОЙ,СБОЙ (вылетает игра),1
2954,OBJECT_BANDIT_CAMPFIRE_NOFIRE,Костёр 1,Ландшафт (не поднять),0
2955,OBJECT_BANDIT_CAMPFIRE,Маленький костёр с огнём,Ландшафт (не поднять),0
2956,OBJECT_BANDIT_CAMPFIRE_MEDIUM,Костёр с огнём,Ландшафт (не поднять),0
2957,OBJECT_BANDIT_CAMPFIRE_MEDIUM_NONSITTING,Костёр 2,Ландшафт (не поднять),0
